chapter,section,symbol,offset,offset_expr,page,page_end,name
30,3.1.6.6,FWMACTL3,0x463C,0x463C,1383,1384,MAC Table Learn Register 3
30,3.1.6.7,FWMACTL40,0x4640,0x4640 + 0x4 * i,1384,1384,MAC Table Learn Register 40
30,3.1.6.8,FWMACTL5,0x4650,0x4650,1384,1385,MAC Table Learn Register 5
30,3.1.6.9,FWMACTLR,0x4654,0x4654,1385,1386,MAC Table Learn Result Register
30,3.1.6.10,FWMACTIM,0x4660,0x4660,1386,1386,MAC Table Initialization Monitoring Register
30,3.1.6.11,FWMACTEM,0x4664,0x4664,1386,1387,MAC Table Entry Monitoring Register
30,3.1.6.12,FWMACTS0,0x4670,0x4670,1387,1387,MAC Table Search Register 0
30,3.1.6.13,FWMACTS1,0x4674,0x4674,1387,1388,MAC Table Search Register 1
30,3.1.6.14,FWMACTSR0,0x4678,0x4678,1388,1389,MAC Table Search Result Register 0
30,3.1.6.15,FWMACTSR1,0x467C,0x467C,1389,1389,MAC Table Search Result Register 1
30,3.1.6.16,FWMACTSR20,0x4680,0x4680 + 0x4 * i,1389,1390,MAC Table Search Result Register 20
30,3.1.6.17,FWMACTSR3,0x4690,0x4690,1390,1390,MAC Table Search Result Register 3
30,3.1.6.18,FWMACTR,0x46A0,0x46A0,1390,1391,MAC Table Read Register
30,3.1.6.19,FWMACTRR0,0x46A4,0x46A4,1391,1391,MAC Table Read Result Register 0
30,3.1.6.20,FWMACTRR1,0x46A8,0x46A8,1391,1392,MAC Table Read Result Register 1
30,3.1.6.21,FWMACTRR2,0x46AC,0x46AC,1392,1392,MAC Table Read Result Register 2
30,3.1.6.22,FWMACTRR3,0x46B0,0x46B0,1392,1392,MAC Table Read Result Register 3
30,3.1.6.23,FWMACTRR4,0x46B4,0x46B4,1392,1393,MAC Table Read Result Register 4
30,3.1.6.24,FWMACTRR50,0x46C0,0x46C0 + 0x4 * i,1393,1393,MAC Table Read Result Register 50
30,3.1.6.25,FWMACTRR6,0x46D0,0x46D0,1393,1394,MAC Table Read Result Register 6
30,3.1.6.26,FWMACAGUSPC,0x4880,0x4880,1394,1394,MAC Aging US Prescaler Configuration Register
30,3.1.6.27,FWMACAGC,0x4884,0x4884,1394,1395,MAC Aging Configuration Register
30,3.1.6.28,FWMACAGM0,0x4888,0x4888,1395,1395,MAC Aging Monitoring Register 0
30,3.1.6.29,FWMACAGM1,0x488C,0x488C,1395,1396,MAC Aging Monitoring Register 1
30,3.1.6.30,FWVLANTEC,0x4900,0x4900,1396,1396,VLAN Table Entry Configuration Register
30,3.1.6.31,FWVLANTL0,0x4910,0x4910,1396,1397,VLAN Table Learn Register 0
30,3.1.6.32,FWVLANTL1,0x4914,0x4914,1397,1397,VLAN Table Learn Register 1
30,3.1.6.33,FWVLANTL2,0x4918,0x4918,1397,1397,VLAN Table Learn Register 2
30,3.1.6.34,FWVLANTL30,0x4920,0x4920 + 0x4 * i,1397,1398,VLAN Table Learn Register 30
30,3.1.6.35,FWVLANTL4,0x4930,0x4930,1398,1398,VLAN Table Learn Register 4
30,3.1.6.36,FWVLANTLR,0x4934,0x4934,1398,1399,VLAN Table Learn Result Register
30,3.1.6.37,FWVLANTIM,0x4940,0x4940,1399,1400,VLAN Table Initialization Monitoring Register
30,3.1.6.38,FWVLANTEM,0x4944,0x4944,1400,1401,VLAN Table Entry Monitoring Register
30,3.1.6.39,FWVLANTS,0x4950,0x4950,1401,1401,VLAN Table Search Register
30,3.1.6.40,FWVLANTSR0,0x4954,0x4954,1401,1402,VLAN Table Search Result Register 0
30,3.1.6.41,FWVLANTSR1,0x4958,0x4958,1402,1402,VLAN Table Search Result Register 1
30,3.1.6.42,FWVLANTSR20,0x4960,0x4960 + 0x4 * i,1402,1403,VLAN Table Search Result Register 20
30,3.1.6.43,FWVLANTSR3,0x4970,0x4970,1403,1403,VLAN Table Search Result Register 3
30,3.1.7.1,FWPBFCi,0x4A00,0x4A00 + 0x10 * i,1403,1404,Port i Port Based Forwarding Configuration Register (i = 0 to 2)
30,3.1.7.2,FWPBFCSDCi0,0x4A04,0x4A04 + 0x10 * i,1404,1405,Port i Port Based Forwarding CSD Configuration Register 0 (i = 0 to 2)
30,3.1.8.1,FWL23URL0,0x4E00,0x4E00,1405,1405,Layer 2/Layer 3 Update Rule Learn Register 0
30,3.1.8.2,FWL23URL1,0x4E04,0x4E04,1405,1406,Layer 2/Layer 3 Update Rule Learn Register 1
30,3.1.8.3,FWL23URL2,0x4E08,0x4E08,1406,1406,Layer 2/Layer 3 Update Rule Learn Register 2
30,3.1.8.4,FWL23URL3,0x4E0C,0x4E0C,1406,1407,Layer 2/Layer 3 Update Rule Learn Register 3
30,3.1.8.5,FWL23URLR,0x4E10,0x4E10,1407,1407,Layer 2/Layer 3 Update Rule Learn Result Register
30,3.1.8.6,FWL23UTIM,0x4E20,0x4E20,1407,1408,Layer 2/Layer 3 Update Table Initialization Monitoring Register
30,3.1.8.7,FWL23URR,0x4E30,0x4E30,1408,1408,Layer 2/Layer 3 Update Rule Read Register
30,3.1.8.8,FWL23URRR0,0x4E34,0x4E34,1408,1409,Layer 2/Layer 3 Update Rule Read Result Register 0
30,3.1.8.9,FWL23URRR1,0x4E38,0x4E38,1409,1410,Layer 2/Layer 3 Update Rule Read Result Register 1
30,3.1.8.10,FWL23URRR2,0x4E3C,0x4E3C,1410,1410,Layer 2/Layer 3 Update Rule Read Result Register 2
30,3.1.8.11,FWL23URRR3,0x4E40,0x4E40,1410,1411,Layer 2/Layer 3 Update Rule Read Result Register 3
30,3.1.8.12,FWL23URMCi,0x4F00,0x4F00 + 0x4 * i,1411,1411,Layer 2/Layer 3 Update Remapping Configuration Register i
30,3.1.9.1,FWPMFGCi,0x5000,0x5000 + 0x4 * i,1411,1412,PSFP MSDU Filter Global Configuration Register i (i = 0 to 15)
30,3.1.9.2,FWPMTRFCi,0x5600,0x5600 + 0x20 * i,1412,1413,PSFP Meter i Filter Configuration Register (i = 0 to 31)
30,3.1.9.3,FWPMTRCBSCi,0x5604,0x5604 + 0x20 * i,1413,1413,PSFP Meter i CBS Configuration Register (i = 0 to 31)
30,3.1.9.4,FWPMTRCIRCi,0x5608,0x5608 + 0x20 * i,1413,1414,PSFP Meter i CIR Configuration Register (i = 0 to 31)
30,3.1.9.5,FWPMTREBSCi,0x560C,0x560C + 0x20 * i,1414,1414,PSFP Meter i EBS Configuration Register (i = 0 to 7)
30,3.1.9.6,FWPMTREIRCi,0x5610,0x5610 + 0x20 * i,1414,1415,PSFP Meter i EIR Configuration Register (i = 0 to 7)
30,3.1.10.1,FWFTL0,0x6000,0x6000,1415,1416,FRER Table Learn Register 0
30,3.1.9.7,FWPMTRFMi,0x5614,0x5614 + 0x20 * i,1415,1415,PSFP Meter i Filter Monitoring Register (i = 0 to 31)
30,3.1.10.2,FWFTL1,0x6004,0x6004,1416,1416,FRER Table Learn Register 1
30,3.1.10.3,FWFTLR,0x6008,0x6008,1416,1417,FRER Table Learn Result Register
30,3.1.10.4,FWFTOC,0x6010,0x6010,1417,1417,FRER Timeout Configuration Register
30,3.1.10.5,FWFTOPC,0x6014,0x6014,1417,1418,FRER Timeout Prescaler Configuration Register 0
30,3.1.10.6,FWFTIM,0x6020,0x6020,1418,1418,FRER Table Initialization Monitoring Register
30,3.1.10.7,FWFTR,0x6030,0x6030,1418,1419,FRER Table Read Register
30,3.1.10.8,FWFTRR0,0x6034,0x6034,1419,1419,FRER Table Read Result Register 0
30,3.1.10.9,FWFTRR1,0x6038,0x6038,1419,1420,FRER Table Read Result Register 1
30,3.1.10.10,FWFTRR2,0x603C,0x603C,1420,1420,FRER Table Read Result Register 2
30,3.1.10.11,FWSEQNGCi,0x6100,0x6100 + 0x8 * i,1420,1421,Sequence Number Generation i Configuration Register (i = 0 to 31)
30,3.1.10.12,FWSEQNGMi,0x6104,0x6104 + 0x8 * i,1421,1421,Sequence Number Generation i Monitoring Register (i = 0 to 31)
30,3.1.10.13,FWSEQNRC,0x6200,0x6200,1421,1421,Sequence Number Reset Configuration Register
30,3.2.1,FWCTFDCNi,0x6300,0x6300 + 0x20 * i,1422,1422,"Port i Cut-Through Forwarded Descriptor Counter Register (i = 0, 1)"
30,3.2.2,FWDDFDCN2,0x6340,0x6340,1422,1423,Port 2 Direct Descriptor Forwarded Descriptor Counter Register
30,3.2.3,FWLTHFDCNi,0x6304,0x6304 + 0x20 * i,1423,1423,Port i Layer 3 Forwarded Descriptor Counter Register (i = 0 to 2)
30,3.2.4,FWLTWFDCNi,0x630C,0x630C + 0x20 * i,1423,1424,Port i Layer 2 Forwarded Descriptor Counter Register (i = 0 to 2)
30,3.2.5,FWPBFDCNi,0x6310,0x6310 + 0x20 * i,1424,1424,Port i Port Based Forwarded Descriptor Counter Register (i = 0 to 2)
30,3.2.6,FWMHLCNi,0x6314,0x6314 + 0x20 * i,1424,1425,Port i MAC Hardware Learn Counter Register (i = 0 to 2)
30,3.2.7,FWWMRDCNi,0x6504,0x6504 + 0x20 * i,1425,1425,Port i Watermark Rejected Descriptor Counter Register (i = 0 to 2)
30,3.2.8,FWCTRDCNi,0x6508,0x6508 + 0x20 * i,1425,1426,"Port i Cut-Through Rejected Descriptor Counter Register (i = 0, 1)"
