source_file,line,function_name,missing_tags,severity
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,811,internal_usbhs_clock_and_mstp,@retval;@pre(<2:1);@post(<2:1),medium
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,824,ra_board_usbhs_device_init,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,840,ra_board_usbhs_host_init,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,953,ra_board_mipi_dsi_init,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,1012,ra_board_uart_console_init,@brief;@details;@param[baud];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,1051,ra_board_uart_console_write,@brief;@details;@param[data];@param[len];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,1065,ra_board_uart_console_read,@brief;@details;@param[out];@param[cap];@param[out_len];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,1097,ra_board_uart_console_flush,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,1145,ra_board_ethernet_init,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/inc/ra_err.h,475,ra_err_is_error,@details;@retval;@pre(<2:0);@post(<2:0);@since,medium
libs/ra_core/inc/ra_error_handler.h,46,internal_ra_fatal_error,@details;@param[noreturn];@pre(<2:0);@post(<2:0);@since,high
libs/ra_core/inc/ra_exception.h,77,ra_exception_capture_diagnostics,@details;@pre(<2:0);@post(<2:0);@note;@since,medium
libs/ra_core/inc/ra_exception.h,91,ra_exception_report,@param[noreturn];@pre(<2:0);@post(<2:0);@note;@since,high
libs/ra_core/inc/ra_register_guard.h,51,ra_register_guard_enter,@details;@pre(<2:0);@post(<2:0);@since,medium
libs/ra_core/inc/ra_register_guard.h,57,volatile,@brief;@details;@param[mrs];@param[primask];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/inc/ra_register_guard.h,58,volatile,@brief;@details;@param[memory];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/inc/ra_register_guard.h,69,ra_register_guard_exit,@details;@pre(<2:0);@post(<2:0);@note;@since,medium
libs/ra_core/inc/ra_register_guard.h,74,volatile,@brief;@details;@param[primask];@param[memory];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/src/ra_error_handler.c,53,volatile,@brief;@details;@param[memory];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/src/ra_error_handler.c,78,volatile,@brief;@details;@param[bkpt];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/src/ra_error_handler.c,101,volatile,@brief;@details;@param[wfi];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/src/ra_error_handler.c,105,internal_ra_fatal_error,@brief;@details;@param[tag];@param[message];@param[err];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,236,internal_itm_put_u32,@brief;@details;@param[value];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,441,internal_ra_log_error,@brief;@details;@param[tag];@param[message];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,446,internal_ra_log_warn,@brief;@details;@param[tag];@param[message];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,451,internal_ra_log_info,@brief;@details;@param[tag];@param[message];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,456,internal_ra_log_debug,@brief;@details;@param[tag];@param[message];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,463,internal_ra_log_error_val,@brief;@details;@param[tag];@param[message];@param[value];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,469,internal_ra_log_warn_val,@brief;@details;@param[tag];@param[message];@param[value];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,475,internal_ra_log_info_val,@brief;@details;@param[tag];@param[message];@param[value];@pre;@post;@note;@since,high
libs/ra_core/src/ra_log.c,481,internal_ra_log_debug_val,@brief;@details;@param[tag];@param[message];@param[value];@pre;@post;@note;@since,high
libs/ra_core/src/ra_pin_validator.c,70,internal_flat_index,@details,low
libs/ra_core/src/ra_rand_stub.c,65,srand,@brief;@details;@param[seed];@pre;@post;@note;@since,high
libs/ra_core/src/ra_time.c,205,volatile,@brief;@details;@param[wfi];@return;@retval;@pre;@post;@note;@since,high
libs/ra_core/src/ra_time.c,243,SysTick_Handler,@brief;@details;@pre;@post;@note;@since,high
libs/ra_core/src/ra_time.c,246,SysTick_Handler,@brief;@details;@pre;@post;@note;@since,high
libs/ra_hal/inc/ra_flash.h,884,ra_flash_dispatch_isr,@pre(<2:1),medium
libs/ra_hal/inc/ra_sci.h,762,ra_sci_dispatch_txi,@details;@pre(<2:1);@post(<2:1);@note,medium
libs/ra_hal/inc/ra_sci.h,774,ra_sci_dispatch_rxi,@details;@pre(<2:1);@post(<2:1);@note,medium
libs/ra_hal/inc/ra_sci.h,786,ra_sci_dispatch_eri,@details;@pre(<2:1);@post(<2:1);@note,medium
libs/ra_hal/src/adc.c,275,ra_adc_b_admdr,@brief;@details;@param[k_ra_adc_res_14bit];@param[false];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/adc.c,277,ra_adc_b_adsger,@brief;@details;@param[k_ra_adc_default_group];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/adc.c,364,ra_adc_b_admdr,@brief;@details;@param[resolution];@param[scan_mode];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/adc.c,366,ra_adc_b_adsger,@brief;@details;@param[k_ra_adc_default_group];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,103,internal_validate_cfg,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,129,internal_validate_chan,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,164,internal_chan_mask,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,186,internal_rmw8,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,213,ra_bkup_vbtbpcr2,@brief;@details;@param[k_ra_bkup_vbtbpcr2_mask_lvl];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,217,ra_bkup_vbtbpcr2,@brief;@details;@param[k_ra_bkup_vbtbpcr2_mask_vdete];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,285,ra_bkup_vbtbpcr2,@brief;@details;@param[k_ra_bkup_vbtbpcr2_mask_lvl];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,291,ra_bkup_vbtbpcr2,@brief;@details;@param[k_ra_bkup_vbtbpcr2_mask_vdete];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,408,ra_bkup_vbtbpsr,@brief;@details;@param[k_ra_bkup_vbtbpsr_mask_vbporf];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,414,ra_bkup_vbtadsr,@brief;@details;@param[adf_bits];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,509,internal_validate_tamper_channels,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,536,internal_compose_vbtictlr,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,566,internal_compose_vbtictlr2,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,600,internal_compose_vbtadcr1,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,634,internal_compose_vbtadcr2,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,664,internal_compose_vbtadcr3,@post(<2:1),medium
libs/ra_hal/src/ra_bkup.c,698,ra_bkup_vbtictlr,@brief;@details;@param[cfg];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,702,ra_bkup_vbtncwcr,@brief;@details;@param[k_ra_bkup_vbtncwcr_mask_vincw];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,706,ra_bkup_vbtictlr2,@brief;@details;@param[cfg];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,716,ra_bkup_vbtadcr1,@brief;@details;@param[cfg];@return;@retval;@pre;@post;@note;@since,high
libs/ra_hal/src/ra_bkup.c,718,ra_bkup_vbtadcr2,@brief;@details;@param[cfg];@return;@retval;@pre;@post;@note;@since,high
